player_id,gamer_tag,state,events_played,sets_played,win_rate,weighted_win_rate,avg_seed_delta,opponent_strength,character_sets,character_win_rate,character_weighted_win_rate,character_usage_rate,upset_rate,activity_score,tournaments_played,latest_event_start,avg_event_entrants,max_event_entrants,events_with_known_entrants,large_event_threshold,large_event_share,events_with_known_state,inferred_state,inferred_state_confidence,home_state,home_state_inferred,home_state_confidence,home_country,home_country_inferred,home_country_confidence
1097775,Bravo,OR,21,72,0.5277777777777778,0.515455613074878,0.5294117647058824,0.21038261610091297,0,,,0.0,0.34285714285714286,28.2,15,1762214400,35.904761904761905,230,21,32,0.42857142857142855,21,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2774716,StellarCosmo,OR,22,90,0.5333333333333333,0.5105343681172134,3.772727272727273,0.20854023712633765,0,,,0.0,0.17391304347826086,31.0,17,1761962400,38.27272727272727,230,22,32,0.36363636363636365,22,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1186977,Draymond,OR,1,4,0.5,0.5,57.0,0.07706830206830206,0,,,0.0,0.3333333333333333,1.4,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
3229756,T.Poe,OR,1,4,0.5,0.5,4.0,0.04630666763019704,0,,,0.0,0.0,1.4,1,1758934800,39.0,39,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
512754,herobrine,OR,1,4,0.5,0.5,8.0,0.12986111111111112,0,,,0.0,0.5,1.4,1,1760684400,46.0,46,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
1216907,Puppet,OR,1,4,0.5,0.5,-8.0,0.060515873015873016,0,,,0.0,1.0,1.4,1,1760684400,46.0,46,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
1545410,D5,OR,1,4,0.5,0.5,33.0,0.13222697096018077,0,,,0.0,0.3333333333333333,1.4,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
46508,golfbum7,OR,1,4,0.5,0.5,5.0,0.11875,0,,,0.0,0.3333333333333333,1.4,1,1756159200,47.0,47,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
3104215,Dray,OR,2,8,0.5,0.49999999999999994,39.5,0.1960854608323703,0,,,0.0,0.2,2.8,2,1757782800,123.0,230,2,32,0.5,2,,,OR,False,1.0,UNITED STATES,False,1.0
4822591,shogant,OR,2,8,0.5,0.4848451222965544,12.0,0.11973852040816327,6,0.3333333333333333,0.30611634847589386,0.75,0.3333333333333333,2.8,1,1755360000,43.0,61,2,32,0.5,2,,,OR,False,1.0,UNITED STATES,False,1.0
2031015,Game 3,OR,2,8,0.5,0.4848451222965544,5.5,0.18037015629261058,0,,,0.0,0.5,2.8,1,1755360000,43.0,61,2,32,0.5,2,,,OR,False,1.0,UNITED STATES,False,1.0
4522139,Subleaf!,OR,19,64,0.484375,0.4780459930778478,5.0,0.23522099100551302,0,,,0.0,0.2777777777777778,25.4,12,1762214400,33.94736842105263,230,19,32,0.3157894736842105,19,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
692316,Frospher,OR,4,16,0.5625,0.4756166944780463,7.0,0.4031613568722944,0,,,0.0,0.3,5.6,3,1757809800,64.5,230,4,32,0.25,4,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
3031578,Ka0,OR,9,37,0.4594594594594595,0.4578200043562372,7.555555555555555,0.26520171996923836,0,,,0.0,0.391304347826087,12.7,9,1762018140,37.666666666666664,230,9,32,0.2222222222222222,9,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
3971004,N1SVoid,OR,22,74,0.47297297297297297,0.44865383560978844,4.45,0.19858866874290762,0,,,0.0,0.14285714285714285,29.4,11,1762214400,38.68181818181818,230,22,32,0.45454545454545453,22,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1063384,Chregamanicler,OR,16,50,0.46,0.4419167404375366,0.35714285714285715,0.16747661264414812,0,,,0.0,0.22727272727272727,21.0,10,1761352200,42.5,230,16,32,0.5,16,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
3162553,Starman,OR,2,7,0.42857142857142855,0.4380185297627831,10.5,0.10196995464852607,0,,,0.0,0.42857142857142855,2.7,1,1755360000,43.0,61,2,32,0.5,2,,,OR,False,1.0,UNITED STATES,False,1.0
37917,Omen,OR,2,7,0.42857142857142855,0.43638425300347494,12.0,0.032707163855155784,0,,,0.0,0.0,2.7,2,1757782800,160.0,230,2,32,1.0,2,,,OR,False,1.0,UNITED STATES,False,1.0
4538189,CROWNED,OR,21,70,0.44285714285714284,0.4315874821555814,4.65,0.22183678565355647,0,,,0.0,0.18181818181818182,28.0,15,1761422400,37.095238095238095,230,21,32,0.47619047619047616,21,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2157194,bcwelder98,OR,1,7,0.42857142857142855,0.42857142857142855,-14.0,0.11215986394557823,0,,,0.0,,1.7000000000000002,1,1762020000,51.0,51,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
4351330,Shulguin,,15,56,0.375,0.3907162887047714,6.466666666666667,0.23823061679179053,0,,,0.0,0.1111111111111111,20.6,13,1762570800,35.6,230,15,32,0.26666666666666666,15,OR,1.0,OR,True,1.0,UNITED STATES,False,1.0
3670874,Master Reese,OR,16,53,0.37735849056603776,0.3831964100646781,4.2,0.17560461150606926,0,,,0.0,0.13513513513513514,21.3,12,1761962400,33.8125,230,16,32,0.25,16,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
4136801,killerkingMC,OR,11,31,0.3548387096774194,0.3522429819599717,11.1,0.1599727595939492,0,,,0.0,0.18181818181818182,14.1,10,1761873600,48.27272727272727,230,11,32,0.2727272727272727,11,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
2272537,Mellow,OR,8,26,0.38461538461538464,0.35159907984958105,-4.25,0.17202654422187308,0,,,0.0,0.16666666666666666,10.6,8,1762481640,51.625,230,8,32,0.25,8,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1330938,SMASHBOMB TV,OR,3,5,0.4,0.34193795579919933,17.666666666666668,0.03544959493535061,1,1.0,1.0,0.2,0.0,3.5,1,1757809200,101.66666666666667,230,3,32,0.6666666666666666,3,OR,1.0,OR,False,1.0,UNITED STATES,False,1.0
1720457,Triple D,,4,12,0.3333333333333333,0.3361979068028656,0.0,0.2058480870980871,0,,,0.0,0.125,5.2,3,1756159200,36.5,61,4,32,0.5,4,OR,1.0,OR,True,1.0,US,True,1.0
4949257,Cheeto,OR,1,3,0.3333333333333333,0.33333333333333337,82.0,0.013750003257677041,0,,,0.0,0.3333333333333333,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
2272451,Phantom,OR,1,3,0.3333333333333333,0.33333333333333337,-26.0,0.016857674161044948,0,,,0.0,0.0,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
4505789,Freestyle,OR,1,3,0.3333333333333333,0.33333333333333337,48.0,0.014174515960230246,0,,,0.0,0.3333333333333333,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
1116627,mMiless,OR,1,3,0.3333333333333333,0.33333333333333337,19.0,0.0214168180195284,0,,,0.0,0.5,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
4136944,Mother,OR,1,3,0.3333333333333333,0.33333333333333337,93.0,0.014393658055922794,0,,,0.0,0.3333333333333333,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
3379377,AdenTheThird,OR,1,3,0.3333333333333333,0.33333333333333337,100.0,0.01837051837051837,0,,,0.0,0.3333333333333333,1.3,1,1757782800,230.0,230,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
1600790,MagicTurtle,OR,1,3,0.3333333333333333,0.3333333333333333,12.0,0.04487967229902714,0,,,0.0,0.3333333333333333,1.3,1,1756159200,47.0,47,1,32,1.0,1,,,OR,False,1.0,UNITED STATES,False,1.0
